Zusammenfassung,Vorgangsschlüssel,Vorgangs-ID,Vorgangstyp,Status,Projektschlüssel,Projektname,Projekttyp,Projektleiter,ID des Projektleiters,Projektbeschreibung,Priorität,Lösung,Zugewiesene Person,ID der zugewiesenen Person,Autor,ID des Autors,Ersteller,Ersteller-ID,Erstellt,Aktualisiert,Zuletzt angezeigt,Erledigt,Fälligkeitsdatum,Stimmen,Beschreibung,Umgebung,Beobachter,ID des Beobachters,Ursprüngliche Schätzung,Verbleibende Schätzung,Benötigte Zeit,Verhältnis tatsächlicher zu geschätzter Arbeit,Σ Ursprüngliche Schätzung,Σ Verbleibende Schätzung,Σ Benötigte Zeit,Sicherheitsstufe,Benutzerdefinierte Felder (Issue color),Benutzerdefinierte Felder (Rank),Benutzerdefinierte Felder (Start date),Benutzerdefinierte Felder (Team),Benutzerdefinierte Felder (Vulnerability),Benutzerdefinierte Felder (development),Statuskategorie,Statuskategorie geändert,Übergeordnet,Übergeordneter Schlüssel,Parent summary
Backend ErrorMessage speichern,RSTFTNG-39,10087,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:37 PM,16/Jan/26 6:37 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000bj:,,,,,Zu erledigen,16/Jan/26 6:37 PM,10085,RSTFTNG-38,Fehlermeldungen anzeigen
Controller Tests,RSTFTNG-44,10097,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:39 PM,16/Jan/26 6:39 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000cn:,,,,,Zu erledigen,16/Jan/26 6:39 PM,10093,RSTFTNG-42,Backend Tests
Fehlerhandling mit Rückgabe,RSTFTNG-30,10069,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:10 PM,16/Jan/26 6:10 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0009j:,,,,,Zu erledigen,16/Jan/26 6:10 PM,10065,RSTFTNG-28,Übermittlung an externes System
Formularvalidierung,RSTFTNG-21,10051,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:55 PM,16/Jan/26 5:55 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0007j:,,,,,Zu erledigen,16/Jan/26 5:55 PM,10047,RSTFTNG-19,Mengenmeldung Formular
Frontend Login-Formular und Routing,RSTFTNG-10,10029,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:45 PM,16/Jan/26 5:46 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00053:,,,,,Zu erledigen,16/Jan/26 5:45 PM,10021,RSTFTNG-4,Benutzer anmelden
Header Logout Button,RSTFTNG-18,10045,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:51 PM,16/Jan/26 5:51 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0006v:,,,,,Zu erledigen,16/Jan/26 5:51 PM,10039,RSTFTNG-15,Benutzer abmelden
Integration Tests mit in-memory DB [H2],RSTFTNG-45,10099,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:39 PM,16/Jan/26 6:40 PM,16/Jan/26 6:40 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000cv:,,,,,Zu erledigen,16/Jan/26 6:39 PM,10093,RSTFTNG-42,Backend Tests
JWT Filter implementieren,RSTFTNG-12,10033,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:48 PM,16/Jan/26 5:48 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0005j:,,,,,Zu erledigen,16/Jan/26 5:48 PM,10031,RSTFTNG-11,Zugriff absichern
JWT Utility erstellen & Security configurieren ,RSTFTNG-9,10027,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:42 PM,16/Jan/26 5:43 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0004v:,,,,,Zu erledigen,16/Jan/26 5:42 PM,10021,RSTFTNG-4,Benutzer anmelden
Login E2E,RSTFTNG-53,10115,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:43 PM,16/Jan/26 6:43 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000en:,,,,,Zu erledigen,16/Jan/26 6:43 PM,10111,RSTFTNG-51,E2E Tests
Login REST Endpoint implementieren,RSTFTNG-5,10022,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 4:58 PM,16/Jan/26 5:17 PM,16/Jan/26 5:39 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0003z:,,,,,Zu erledigen,16/Jan/26 4:58 PM,10021,RSTFTNG-4,Benutzer anmelden
Menegenmeldung Service Logic implementieren,RSTFTNG-27,10063,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:02 PM,16/Jan/26 6:02 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0008v:,,,,,Zu erledigen,16/Jan/26 6:02 PM,10057,RSTFTNG-24,Mengenmeldung speichern
Mengenmeldung Entity erstellen,RSTFTNG-25,10059,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:00 PM,16/Jan/26 6:00 PM,16/Jan/26 6:08 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0008f:,,,,,Zu erledigen,16/Jan/26 6:00 PM,10057,RSTFTNG-24,Mengenmeldung speichern
